"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Taylor Raddysh",1998-02-18,"RW","Sault Ste. Marie Greyhounds",24,8,15,23,0.96,68
"Boris Katchouk",1998-06-18,"LW","Sault Ste. Marie Greyhounds",24,12,10,22,0.92,59
"Logan Brown",1998-03-05,"C","Kitchener Rangers",19,4,17,21,1.11,78
"Kole Sherwood",1997-01-22,"RW","Kitchener Rangers",19,11,9,20,1.05,77
"Robert Thomas",1999-07-02,"C","Hamilton Bulldogs",21,10,10,20,0.95,62
"Ryan Moore",1997-04-09,"C","Hamilton Bulldogs",21,7,13,20,0.95,77
"Nicholas Caamano",1998-09-07,"LW","Hamilton Bulldogs",21,7,11,18,0.86,82
"Adam Mascherin",1998-06-06,"LW","Kitchener Rangers",19,7,8,15,0.79,62
"Jack Kopacka",1998-03-05,"RW","Sault Ste. Marie Greyhounds",24,10,5,15,0.62,71
"Marian Studenic",1998-10-28,"RW","Hamilton Bulldogs",21,3,12,15,0.71,100
"Givani Smith",1998-02-27,"RW","Kitchener Rangers",18,8,6,14,0.78,78
"Brandon Saigeon",1998-06-14,"C","Hamilton Bulldogs",21,10,3,13,0.62,52
"Gabriel Vilardi",1999-08-16,"C","Kingston Frontenacs",16,8,5,13,0.81,59
"Morgan Frost",1999-05-14,"C","Sault Ste. Marie Greyhounds",24,4,9,13,0.54,45
"Tim Gettinger",1998-04-14,"LW","Sault Ste. Marie Greyhounds",24,5,8,13,0.54,59
"Joseph Garreffa",1999-08-09,"RW","Kitchener Rangers",19,4,8,12,0.63,63
"Linus Nyman",1999-07-11,"LW","Kingston Frontenacs",16,2,10,12,0.75,75
"Aaron Luchuk",1997-04-05,"C","Barrie Colts",12,5,6,11,0.92,65
"Benjamin Gleason",1998-03-25,"D","Hamilton Bulldogs",21,3,8,11,0.52,61
"Brett Neumann",1999-02-15,"C","Kingston Frontenacs",16,2,9,11,0.69,85
"Cliff Pu",1998-06-03,"C","Kingston Frontenacs",15,4,7,11,0.73,65
"Connor Bunnaman",1998-04-16,"C","Kitchener Rangers",19,3,8,11,0.58,79
"Hugo Leufvenius",1999-03-26,"LW","Sarnia Sting",12,6,5,11,0.92,100
"Mac Hollowell",1998-09-26,"D","Sault Ste. Marie Greyhounds",24,2,9,11,0.46,69
"MacKenzie Entwistle",1999-07-14,"RW","Hamilton Bulldogs",21,6,5,11,0.52,65
"Matthew Strome",1999-01-06,"LW","Hamilton Bulldogs",20,2,9,11,0.55,61
"Riley Stillman",1998-03-09,"D","Hamilton Bulldogs",21,4,7,11,0.52,79
"Barrett Hayton",2000-06-09,"C","Sault Ste. Marie Greyhounds",24,4,6,10,0.42,48
"Brett McKenzie",1997-03-12,"C","Owen Sound Attack",11,5,5,10,0.91,62
"Isaac Nurse",1999-03-16,"RW","Hamilton Bulldogs",21,6,4,10,0.48,91
"Keeghan Howdeshell",1998-02-24,"LW","Sault Ste. Marie Greyhounds",22,7,3,10,0.45,77
"Lucas Chiodo",1998-10-31,"LW","Barrie Colts",12,3,7,10,0.83,83
"Michael Vukojevic",2001-06-08,"D","Kitchener Rangers",19,1,9,10,0.53,100
"Riley Damiani",2000-03-20,"C","Kitchener Rangers",19,5,5,10,0.53,83
"Ryan McGregor",1999-01-29,"C","Sarnia Sting",12,3,7,10,0.83,100
"Sean Day",1998-01-09,"D","Kingston Frontenacs",16,3,7,10,0.62,71
"Sean Josling",1999-03-22,"RW","Sarnia Sting",12,5,5,10,0.83,71
"Alan Lyszczarczyk",1998-02-17,"LW","Owen Sound Attack",11,6,3,9,0.82,69
"Ethan Szypula",1997-01-28,"C","Owen Sound Attack",11,4,5,9,0.82,90
"Jordan Sambrook",1998-04-11,"D","Sault Ste. Marie Greyhounds",24,1,8,9,0.38,100
"Logan Stanley",1998-05-26,"D","Kitchener Rangers",19,3,6,9,0.47,56
"Sean Durzi",1998-10-21,"D","Owen Sound Attack",11,4,5,9,0.82,56
"Dmitry Sokolov",1998-04-14,"RW","Barrie Colts",12,3,5,8,0.67,53
"Drake Rymsha",1998-08-06,"C","Sarnia Sting",12,3,5,8,0.67,89
"Jason Robertson",1999-07-22,"RW","Kingston Frontenacs",16,5,3,8,0.5,44
"Nick McHugh",1999-02-13,"LW","Kitchener Rangers",19,3,5,8,0.42,100
