"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"David Legwand",1980-08-17,"C","Plymouth Whalers",59,35,39,74,1.25,70
"Jeremy Adduono",1978-08-04,"LW","Sudbury Wolves",66,26,46,72,1.09,68
"Jon Sim",1977-09-29,"C","Sarnia Sting",59,31,35,66,1.12,70
"Maxim Spiridonov",1978-04-07,"RW","London Knights",66,38,28,66,1,67
"Mark Cadotte",1977-03-11,"C","London Knights",67,24,40,64,0.96,68
"Justin Papineau",1980-01-15,"C","Belleville Bulls",66,29,34,63,0.95,67
"Jeff Heerema",1980-01-17,"RW","Sarnia Sting",63,28,32,60,0.95,83
"Jay Legault",1979-05-15,"C","London Knights",61,26,33,59,0.97,62
"Harold Druken",1979-01-26,"C","Plymouth Whalers",64,30,28,58,0.91,71
"Jeff Scharf",1977-03-06,"RW","Belleville Bulls",63,22,36,58,0.92,68
"Norm Milley",1980-02-14,"RW","Sudbury Wolves",62,26,32,58,0.94,78
"Colin Chaulk",1977-01-07,"C","Kingston Frontenacs",60,22,35,57,0.95,59
"Colin Pepperall",1978-04-28,"LW","Erie Otters",60,17,40,57,0.95,63
"Ryan Christie",1978-07-03,"LW","Owen Sound Platers",66,29,26,55,0.83,69
"Peter Sarno",1979-07-26,"C","Windsor Spitfires",64,14,40,54,0.84,45
"Rob Mailloux",1978-02-28,"LW","Kingston Frontenacs",65,28,26,54,0.83,57
"Daniel Tkaczuk",1979-06-10,"C","Barrie Colts",57,24,28,52,0.91,69
"Rico Fata",1980-02-12,"C","London Knights",64,29,23,52,0.81,68
"Andrew Taylor",1977-01-17,"LW","Plymouth Whalers",61,22,28,50,0.82,70
"Matt Bradley",1978-06-13,"RW","Kingston Frontenacs",55,23,27,50,0.91,60
"Peter Cava",1978-02-14,"C","Sault Ste. Marie Greyhounds",64,16,34,50,0.78,56
"Richard Pitirri",1978-01-01,"C","London Knights",63,23,27,50,0.79,69
"Dan Tessier",1979-01-03,"C","Ottawa 67's",66,20,29,49,0.74,75
"Troy Stonier",1977-06-05,"LW","Ottawa 67's",59,16,33,49,0.83,62
"Brian Willsie",1978-03-16,"RW","Guelph Storm",57,28,20,48,0.84,63
"Kevin Colley",1979-01-04,"RW","Oshawa Generals",57,20,28,48,0.84,71
"Konstantin Kalmikov",1978-06-14,"C","Sudbury Wolves",66,23,25,48,0.73,75
"Wes Goldie",1979-04-05,"RW","Owen Sound Platers",64,26,22,48,0.75,75
"Jeff Martin",1979-04-26,"C","Windsor Spitfires",65,16,31,47,0.72,50
"Joel Trottier",1977-02-11,"RW","Belleville Bulls",53,17,30,47,0.89,72
"Colin Beardsmore",1978-02-07,"LW","Owen Sound Platers",65,12,34,46,0.71,66
"Jonathan Cheechoo",1980-07-15,"RW","Belleville Bulls",64,20,26,46,0.72,61
"Michael Henrich",1980-03-04,"RW","Barrie Colts",66,32,14,46,0.7,73
"Ryan Ready",1978-11-07,"LW","Belleville Bulls",66,22,23,45,0.68,62
"Scott Barney",1979-03-27,"C","Peterborough Petes",62,30,15,45,0.73,59
"Brent Gauvreau",1980-06-29,"RW","Oshawa Generals",66,17,27,44,0.67,66
"Dan Tudin",1978-08-03,"LW","Ottawa 67's",63,22,22,44,0.7,76
"Mike Oliveira",1979-02-21,"C","Kingston Frontenacs",66,12,32,44,0.67,57
"Brett Gibson",1979-08-17,"C","North Bay Centennials",61,20,23,43,0.7,55
"Chris Neil",1979-06-18,"RW","North Bay Centennials",59,22,21,43,0.73,78
"Brian Barker",1978-09-07,"LW","Barrie Colts",66,13,29,42,0.64,72
"Mark Bell",1980-05-08,"C","Ottawa 67's",55,25,17,42,0.76,70
"Yuri Babenko",1978-01-02,"C","Plymouth Whalers",59,15,27,42,0.71,75
"Andrew Long",1978-08-10,"C","Guelph Storm",62,17,24,41,0.66,59
"Chester Gallant",1977-12-22,"RW","Oshawa Generals",66,12,29,41,0.62,73
"Dan Snyder",1978-02-23,"C","Owen Sound Platers",46,19,22,41,0.89,73
"Darryl Knight",1979-04-14,"C","Sarnia Sting",64,11,30,41,0.64,58
"Michael Zigomanis",1981-01-17,"C","Kingston Frontenacs",62,13,28,41,0.66,55
"Ben Gustavson",1978-04-23,"C","Ottawa 67's",62,14,25,39,0.63,76
"Larry Paleczny",1978-04-02,"C","Owen Sound Platers",63,17,22,39,0.62,70
"Matt Price",1978-04-27,"LW","Kingston Frontenacs",63,14,25,39,0.62,70
"Tom Kostopoulos",1979-01-24,"RW","London Knights",66,22,17,39,0.59,78
"Adam Mair",1979-02-17,"C","Owen Sound Platers",56,18,20,38,0.68,73
"Keith Delaney",1979-05-07,"C","Barrie Colts",66,18,20,38,0.58,70
"Matt Zultek",1979-03-12,"LW","Ottawa 67's",62,19,19,38,0.61,68
"Mike Fisher",1980-06-05,"C","Sudbury Wolves",66,19,19,38,0.58,78
"Nick Bootland",1978-07-21,"LW","Guelph Storm",64,17,21,38,0.59,63
"Tyler Rennette",1979-04-16,"C","Erie Otters",55,20,18,38,0.69,59
"Chris Allen",1978-05-08,"D","Kingston Frontenacs",66,18,19,37,0.56,39
"Jeff Zehr",1978-12-10,"LW","Erie Otters",52,18,19,37,0.71,54
"Joel Dezainde",1978-11-02,"D","Belleville Bulls",65,11,26,37,0.57,64
"Justin Davis",1978-03-01,"RW","Ottawa 67's",60,20,17,37,0.62,67
"Sean Avery",1980-04-10,"C","Owen Sound Platers",47,7,30,37,0.79,69
"Jason Polera",1979-03-21,"RW","Windsor Spitfires",66,15,21,36,0.55,51
"Tim Connolly",1981-05-07,"C","Erie Otters",59,17,19,36,0.61,58
