"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Alex DeBrincat",1997-12-18,"RW","Erie Otters",63,50,35,85,1.35,67
"Taylor Raddysh",1998-02-18,"RW","Erie Otters",58,27,51,78,1.34,72
"Kole Sherwood",1997-01-22,"RW","Flint Firebirds",60,28,38,66,1.1,78
"Ryan Moore",1997-04-09,"C","Flint Firebirds",68,30,35,65,0.96,72
"Jordan Kyrou",1998-05-05,"RW","Sarnia Sting",66,21,40,61,0.92,65
"Nick Suzuki",1999-08-10,"C","Owen Sound Attack",65,26,33,59,0.91,61
"Artur Tyanulin",1997-01-20,"RW","Ottawa 67's",67,19,39,58,0.87,68
"Adam Mascherin",1998-06-06,"LW","Kitchener Rangers",65,22,32,54,0.83,54
"Michael McLeod",1998-02-03,"C","Mississauga Steelheads",57,20,34,54,0.95,74
"Owen Tippett",1999-02-16,"RW","Mississauga Steelheads",60,34,18,52,0.87,69
"Petrus Palmu",1997-07-16,"RW","Owen Sound Attack",62,23,29,52,0.84,53
"Cliff Pu",1998-06-03,"C","London Knights",63,22,29,51,0.81,59
"Kevin Hancock",1998-03-02,"LW","Owen Sound Attack",68,17,34,51,0.75,60
"Jason Robertson",1999-07-22,"RW","Kingston Frontenacs",68,30,19,49,0.72,60
"Jeremy Bracco",1997-03-17,"RW","Windsor Spitfires",57,18,31,49,0.86,59
"Robert Thomas",1999-07-02,"C","London Knights",66,12,37,49,0.74,74
"Zachary Senyshyn",1997-03-30,"RW","Sault Ste. Marie Greyhounds",59,36,13,49,0.83,75
"Dylan Strome",1997-03-07,"C","Erie Otters",35,16,32,48,1.37,64
"Hayden Hodgson",1996-03-02,"RW","Saginaw Spirit",67,24,24,48,0.72,73
"Jonah Gadjovich",1998-10-12,"LW","Owen Sound Attack",60,28,20,48,0.8,65
"Jonathan Ang",1998-01-31,"C","Peterborough Petes",67,21,27,48,0.72,81
"Kyle Maksimovich",1998-03-10,"LW","Erie Otters",64,12,36,48,0.75,75
"Bobby MacIntyre",1996-09-08,"LW","Sault Ste. Marie Greyhounds",63,16,31,47,0.75,59
"Janne Kuokkanen",1998-05-25,"C","London Knights",60,19,27,46,0.77,74
"Michael Cramarossa",1996-05-24,"LW","Hamilton Bulldogs",67,18,27,45,0.67,79
"Tim Gettinger",1998-04-14,"LW","Sault Ste. Marie Greyhounds",62,26,19,45,0.73,83
"Darren Raddysh",1996-02-28,"D","Erie Otters",62,8,36,44,0.71,54
"JJ Piccinich",1996-06-12,"RW","London Knights",66,12,32,44,0.67,62
"Warren Foegele",1996-04-01,"C","Erie Otters",61,14,30,44,0.72,70
"Aaron Luchuk",1997-04-05,"C","Windsor Spitfires",68,20,23,43,0.63,73
"Anthony Salinitri",1998-03-05,"C","Sarnia Sting",66,21,22,43,0.65,74
"Austen Keating",1999-03-07,"C","Ottawa 67's",67,16,27,43,0.64,68
"Brett McKenzie",1997-03-12,"C","North Bay Battalion",67,17,26,43,0.64,64
"Conor Timmins",1998-09-18,"D","Sault Ste. Marie Greyhounds",67,3,40,43,0.64,70
"Nicholas Caamano",1998-09-07,"LW","Flint Firebirds",67,17,26,43,0.64,67
"Steve Harland",1996-05-10,"RW","North Bay Battalion",68,19,24,43,0.63,66
"Steven Lorentz",1996-04-13,"C","Peterborough Petes",66,20,23,43,0.65,70
"Gabriel Vilardi",1999-08-16,"C","Windsor Spitfires",49,20,22,42,0.86,69
"Ivan Lodnia",1999-08-31,"RW","Erie Otters",66,20,22,42,0.64,74
"Johnny Corneil",1997-08-16,"LW","Niagara IceDogs",67,25,17,42,0.63,68
"Boris Katchouk",1998-06-18,"LW","Sault Ste. Marie Greyhounds",66,22,19,41,0.62,64
"Will Bitten",1998-07-10,"C","Hamilton Bulldogs",65,15,26,41,0.63,72
"Anthony Cirelli",1997-07-15,"C","Erie Otters",51,19,21,40,0.78,62
"Dmitry Sokolov",1998-04-14,"RW","Sudbury Wolves",64,31,9,40,0.62,56
"Macauley Carson",1999-03-12,"LW","Sudbury Wolves",68,23,17,40,0.59,80
"Matthew Strome",1999-01-06,"LW","Hamilton Bulldogs",66,24,16,40,0.61,65
"Morgan Frost",1999-05-14,"C","Sault Ste. Marie Greyhounds",67,12,28,40,0.6,65
"Graham Knott",1997-01-13,"LW","Windsor Spitfires",59,11,28,39,0.66,75
"Kris Bennett",1996-01-06,"C","Saginaw Spirit",66,21,18,39,0.59,76
"Lucas Chiodo",1998-10-31,"LW","Barrie Colts",68,19,20,39,0.57,74
"Nikita Korostelev",1997-02-08,"RW","Peterborough Petes",55,21,18,39,0.71,61
"Sam Miletic",1997-05-04,"LW","London Knights",65,25,14,39,0.6,71
"Drake Rymsha",1998-08-06,"C","Sarnia Sting",65,23,15,38,0.58,61
"Niki Petti",1996-08-13,"C","Hamilton Bulldogs",51,16,22,38,0.75,78
"Eric Henderson",1998-04-23,"LW","Oshawa Generals",65,14,23,37,0.57,71
"Filip Hronek",1997-11-02,"D","Saginaw Spirit",59,10,27,37,0.63,61
"Isaac Ratcliffe",1999-02-15,"LW","Guelph Storm",67,21,16,37,0.55,69
"Logan DeNoble",1997-10-15,"C","Peterborough Petes",67,20,17,37,0.55,67
"Maurizio Colella",1997-03-21,"LW","Flint Firebirds",65,16,21,37,0.57,90
"Brandon Saigeon",1998-06-14,"C","Hamilton Bulldogs",66,14,22,36,0.55,73
"Christopher Paquette",1998-03-27,"C","Peterborough Petes",66,15,21,36,0.55,75
"Domenico Commisso",1998-02-19,"C","Oshawa Generals",68,11,25,36,0.53,57
"Joseph Garreffa",1999-08-09,"RW","Kitchener Rangers",68,18,18,36,0.53,60
"Oliver Castleman",1999-09-15,"LW","Niagara IceDogs",66,17,19,36,0.55,90
"Allan McShane",2000-02-14,"C","Oshawa Generals",62,14,21,35,0.56,80
"Anthony Stefano",1996-01-04,"LW","Barrie Colts",62,13,22,35,0.56,62
"Ben Jones",1999-02-26,"C","Niagara IceDogs",63,10,25,35,0.56,70
"Darby Llewellyn",1996-07-19,"LW","Kitchener Rangers",59,18,17,35,0.59,81
"David Levin",1999-09-16,"LW","Sudbury Wolves",66,13,22,35,0.53,66
"Jack Kopacka",1998-03-05,"LW","Sault Ste. Marie Greyhounds",65,20,15,35,0.54,71
"Mitchell Stephens",1997-02-05,"C","London Knights",51,14,21,35,0.69,66
"Patrick White",1996-02-13,"C","Ottawa 67's",68,16,19,35,0.51,71
"Adam Ruzicka",1999-05-11,"C","Sarnia Sting",61,19,15,34,0.56,74
"Linus Nyman",1999-07-11,"LW","Kingston Frontenacs",68,18,16,34,0.5,68
"Spencer Watson",1996-04-25,"RW","Mississauga Steelheads",41,20,14,34,0.83,64
"Brady Gilmour",1999-04-18,"C","Saginaw Spirit",65,23,10,33,0.51,70
"Jeremiah Addison",1996-10-21,"LW","Windsor Spitfires",51,18,15,33,0.65,77
"Jordan Sambrook",1998-04-11,"D","Erie Otters",61,14,19,33,0.54,82
"Kyle Pettit",1996-01-19,"C","Erie Otters",66,14,19,33,0.5,61
"Matthew Timms",1998-05-12,"D","Peterborough Petes",68,8,25,33,0.49,52
"Ryan Valentini",1997-07-13,"C","Sudbury Wolves",66,12,21,33,0.5,66
"Troy Lajeunesse",1997-05-20,"C","Sarnia Sting",65,14,19,33,0.51,82
"Ethan Szypula",1997-01-28,"C","Owen Sound Attack",64,9,23,32,0.5,68
"Givani Smith",1998-02-27,"RW","Guelph Storm",64,17,15,32,0.5,73
"Jack Studnicka",1999-02-18,"C","Oshawa Generals",64,11,21,32,0.5,62
"Jeff King",1996-02-23,"D","Sarnia Sting",66,10,22,32,0.48,57
"Markus Phillips",1999-03-21,"D","Owen Sound Attack",66,9,23,32,0.48,74
"Mathieu Henderson",1996-01-07,"D","Flint Firebirds",68,8,24,32,0.47,59
"Matt Luff",1997-05-05,"RW","Hamilton Bulldogs",45,17,15,32,0.71,65
"Nathan Bastian",1997-12-06,"RW","Mississauga Steelheads",58,10,22,32,0.55,71
"Owen MacDonald",1996-05-24,"C","London Knights",61,14,18,32,0.52,86
"Ryan McLeod",1999-09-21,"C","Mississauga Steelheads",68,7,25,32,0.47,76
"Ryan Merkley",2000-08-14,"D","Guelph Storm",62,7,25,32,0.52,58
"Zach Gallant",1999-03-06,"C","Peterborough Petes",60,11,21,32,0.53,68
"Cordell James",1996-06-14,"C","Owen Sound Attack",64,19,12,31,0.48,54
"Greg Meireles",1999-01-01,"RW","Kitchener Rangers",66,12,19,31,0.47,74
"Mason Kohn",1997-05-03,"C","Oshawa Generals",67,9,22,31,0.46,78
"Mikhail Sergachev",1998-06-25,"D","Windsor Spitfires",50,9,22,31,0.62,70
"Santino Centorame",1996-04-28,"D","Owen Sound Attack",68,5,26,31,0.46,42
"Adrian Carbonara",1997-03-12,"RW","London Knights",63,11,19,30,0.48,91
"Akil Thomas",2000-01-02,"RW","Niagara IceDogs",61,17,13,30,0.49,62
"Everett Clark",1996-01-22,"C","Flint Firebirds",65,14,16,30,0.46,77
"Stefan LeBlanc",1996-03-16,"D","Mississauga Steelheads",66,7,23,30,0.45,81
"Victor Mete",1998-06-07,"D","London Knights",50,10,20,30,0.6,67
"Zachary Magwood",1998-04-22,"C","Barrie Colts",64,15,15,30,0.47,79
"Alex Peters",1996-07-02,"D","Flint Firebirds",68,6,23,29,0.43,85
"Connor Bunnaman",1998-04-16,"C","Kitchener Rangers",64,21,8,29,0.45,56
"Hayden Verbeek",1997-10-17,"C","Sault Ste. Marie Greyhounds",64,10,19,29,0.45,94
"Kevin Spinozzi",1996-05-23,"D","Sarnia Sting",58,9,20,29,0.5,71
"Matt Schmalz",1996-03-21,"RW","Owen Sound Attack",62,16,13,29,0.47,94
"Nicolas Hague",1998-12-05,"D","Mississauga Steelheads",65,11,18,29,0.45,63
"Roy Radke",1996-12-10,"RW","Barrie Colts",45,20,9,29,0.64,81
"Colton White",1997-05-03,"D","Sault Ste. Marie Greyhounds",64,5,23,28,0.44,90
