"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Peter Reynolds",1981-04-27,"D","London Knights",16,0,0,0,0,NA
"Richard Kazda",1979-06-28,"LW","Barrie Colts",6,0,0,0,0,NA
"Richard Spence",1981-03-25,"D","Oshawa Generals",1,0,0,0,0,NA
"Rick Bertran",1980-03-12,"D","Kitchener Rangers",6,0,0,0,0,NA
"Robb Palahnuk",1980-06-19,"LW","Sarnia Sting",5,0,0,0,0,NA
"Ryan Lee",1980-10-06,"D","Erie Otters",2,0,0,0,0,NA
"Ryan O'Keefe",1980-02-05,"D","Barrie Colts",5,0,0,0,0,NA
"Ryan Rivard",1981-03-28,"RW","Owen Sound Platers",1,0,0,0,0,NA
"Ryan Shaver",1978-04-01,"RW","Barrie Colts",6,0,0,0,0,NA
"Scott Barney",1979-03-27,"C","Peterborough Petes",4,0,0,0,0,0
"Sean Dixon",1981-02-22,"D","Erie Otters",4,0,0,0,0,0
"Sean Edwards",1979-09-06,"C","Kingston Frontenacs",3,0,0,0,0,NA
"Sean Griffin",1980-04-18,"D","Kingston Frontenacs",12,0,0,0,0,NA
"Shaun Fisher",1979-06-02,"D","Plymouth Whalers",14,0,0,0,0,0
"Tim Verbeek",1979-10-05,"C","Sarnia Sting",4,0,0,0,0,NA
"Travis Lisabeth",1980-04-01,"C","Kitchener Rangers",2,0,0,0,0,NA
"Wade Clubb",1980-03-08,"D","Erie Otters",3,0,0,0,0,NA
"Walker McDonald",1979-12-12,"RW","Barrie Colts",5,0,0,0,0,NA
"Wes Jarvis",1979-04-16,"D","Kitchener Rangers",1,0,0,0,0,NA
