"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Norm Milley",1980-02-14,"RW","Sudbury Wolves",68,37,42,79,1.16,71
"Denis Shvidki",1980-11-21,"RW","Barrie Colts",61,30,48,78,1.28,74
"Jason Jaspers",1981-04-08,"C","Sudbury Wolves",68,36,42,78,1.15,73
"Taylor Pyatt",1981-08-19,"LW","Sudbury Wolves",68,26,38,64,0.94,72
"Raffi Torres",1981-10-08,"LW","Brampton Battalion",68,34,29,63,0.93,69
"Justin Williams",1981-10-04,"RW","Plymouth Whalers",68,29,33,62,0.91,75
"Sheldon Keefe",1980-09-17,"RW","Barrie Colts",66,29,32,61,0.92,50
"Michael Henrich",1980-03-04,"RW","Barrie Colts",66,24,36,60,0.91,70
"Damian Surma",1981-01-22,"LW","Plymouth Whalers",66,26,29,55,0.83,71
"Michael Zigomanis",1981-01-17,"C","Kingston Frontenacs",59,24,31,55,0.93,59
"Brad Boyes",1982-04-17,"C","Erie Otters",68,25,28,53,0.78,65
"Jonathan Cheechoo",1980-07-15,"RW","Belleville Bulls",66,29,24,53,0.8,58
"Branko Radivojevic",1980-11-24,"RW","Belleville Bulls",59,15,36,51,0.86,71
"Sean Avery",1980-04-10,"C","Kingston Frontenacs",55,17,32,49,0.89,58
"Sergei Kuznetzov",1980-01-29,"C","Peterborough Petes",68,28,21,49,0.72,75
"Brent Gauvreau",1980-06-29,"RW","Oshawa Generals",59,23,25,48,0.81,55
"Joe Talbot",1980-04-23,"C","Ottawa 67's",68,22,24,46,0.68,67
"Jonathan Schill",1979-06-28,"LW","Kingston Frontenacs",65,24,22,46,0.71,53
"Mike Jefferson",1980-10-21,"RW","Barrie Colts",58,17,29,46,0.79,53
"Bryan Kazarian",1981-06-30,"C","Owen Sound Platers",68,16,29,45,0.66,75
"Chad Wiseman",1981-03-25,"RW","Mississauga IceDogs",68,14,31,45,0.66,66
"Cory Pecker",1981-03-20,"RW","Sault Ste. Marie Greyhounds",65,22,23,45,0.69,65
"Joe Gerbe",1979-04-12,"C","Guelph Storm",68,16,29,45,0.66,62
"Randy Rowe",1980-06-10,"LW","Belleville Bulls",67,20,25,45,0.67,70
"Ryan Jardine",1980-03-15,"LW","Sault Ste. Marie Greyhounds",65,26,19,45,0.69,58
"Chris Kelly",1980-11-11,"LW","London Knights",63,21,23,44,0.7,61
"Vladimir Repnev",1980-03-07,"C","Oshawa Generals",62,17,27,44,0.71,56
"Brent Kelly",1981-12-01,"C","Guelph Storm",68,18,25,43,0.63,66
"Dan Tessier",1979-01-03,"C","Ottawa 67's",55,17,26,43,0.78,51
"Eric Beaudoin",1980-05-03,"LW","Guelph Storm",68,19,24,43,0.63,60
"Jason Williams",1980-08-11,"C","Peterborough Petes",66,22,21,43,0.65,59
"Scott Cameron",1981-04-11,"LW","North Bay Centennials",70,18,25,43,0.61,72
"Wes Goldie",1979-04-05,"RW","Owen Sound Platers",68,20,23,43,0.63,57
"Jeff Bateman",1981-08-29,"C","Brampton Battalion",64,14,28,42,0.66,66
"Jeff Heerema",1980-01-17,"RW","Sarnia Sting",67,19,23,42,0.63,55
"Justin Papineau",1980-01-15,"C","Belleville Bulls",60,25,17,42,0.7,55
"Lindsay Plunkett",1980-05-12,"LW","Guelph Storm",66,18,24,42,0.64,64
"Preston Mizzi",1980-12-22,"C","Peterborough Petes",67,16,26,42,0.63,68
