"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Cory Pecker",1981-03-20,"RW","Erie Otters",21,16,5,21,1,50
"Brad Boyes",1982-04-17,"C","Erie Otters",21,11,6,17,0.81,41
"Brandon Cullen",1981-03-05,"RW","Erie Otters",21,6,9,15,0.71,52
"Blaine Down",1982-07-16,"LW","Barrie Colts",20,10,3,13,0.65,52
"Steve Hildenbrand",1981-03-10,"C","Windsor Spitfires",16,2,10,12,0.75,55
"Tim Brent",1984-03-10,"C","Toronto St. Michael's Majors",14,2,9,11,0.79,58
"Frank Lukes",1982-09-25,"RW","Toronto St. Michael's Majors",15,4,6,10,0.67,56
"Kyle Wellwood",1983-05-16,"C","Windsor Spitfires",16,5,5,10,0.62,42
"Scott Dobben",1983-04-10,"LW","Erie Otters",21,2,8,10,0.48,67
"Scott Horvath",1984-07-19,"RW","Toronto St. Michael's Majors",15,3,7,10,0.67,83
"Zenon Konopka",1981-01-02,"C","Ottawa 67's",13,4,6,10,0.77,71
"Carlo Colaiacovo",1983-01-27,"D","Erie Otters",21,4,5,9,0.43,53
"Charlie Stephens",1981-04-05,"C","London Knights",12,4,5,9,0.75,56
"Erik Reitz",1982-07-29,"D","Barrie Colts",20,2,7,9,0.45,45
"Mike Rice",1982-02-01,"LW","Erie Otters",21,2,7,9,0.43,75
"Nick Lees",1983-10-22,"C","Barrie Colts",20,6,3,9,0.45,82
"Shayne Fryia",1981-12-30,"C","Barrie Colts",19,2,7,9,0.47,60
"Steve Ott",1982-08-19,"C","Windsor Spitfires",14,5,4,9,0.64,56
"Jeffrey Doyle",1983-01-10,"RW","Erie Otters",21,4,4,8,0.38,80
"Joey Tenute",1983-04-02,"C","Barrie Colts",20,4,4,8,0.4,57
"Mark Langdon",1983-03-12,"C","Barrie Colts",20,3,5,8,0.4,73
"Nathan Robinson",1981-12-31,"C","Belleville Bulls",11,4,4,8,0.73,57
"Rick Nash",1984-06-16,"LW","London Knights",12,4,4,8,0.67,42
"Scott Sheppard",1983-09-28,"RW","Ottawa 67's",13,4,4,8,0.62,73
