"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Matthew Maggio",2002-11-25,"RW","Windsor Spitfires",66,47,40,87,1.32,78
"Amadeus Lombardi",2003-06-05,"C","Flint Firebirds",67,33,43,76,1.13,75
"Ethan Cardwell",2002-08-30,"C","Barrie Colts",62,36,33,69,1.11,77
"David Goyette",2004-03-27,"C","Sudbury Wolves",63,31,34,65,1.03,71
"Logan Morrison",2002-07-09,"C","Ottawa 67's",56,30,33,63,1.12,67
"Ty Voit",2003-06-10,"RW","Sarnia Sting",67,19,44,63,0.94,60
"Sasha Pastujov",2003-07-15,"LW","Sarnia Sting",60,25,37,62,1.03,63
"Quentin Musty",2005-07-06,"LW","Sudbury Wolves",53,23,38,61,1.15,78
"Evan Vierling",2002-06-20,"C","Barrie Colts",60,23,37,60,1,63
"Matvey Petrov",2003-03-12,"LW","North Bay Battalion",65,22,38,60,0.92,65
"Tucker Robertson",2003-06-22,"C","Peterborough Petes",68,20,39,59,0.87,66
"Francesco Arcuri",2003-06-13,"LW","Kitchener Rangers",71,30,28,58,0.82,64
"Gavin Hayes",2004-05-14,"RW","Flint Firebirds",66,32,26,58,0.88,72
"Jacob Maillet",2003-03-13,"C","Windsor Spitfires",67,19,39,58,0.87,76
"Francesco Pinelli",2003-04-11,"C","Kitchener Rangers",60,27,30,57,0.95,63
"Sean McGurn",2002-07-30,"C","London Knights",67,18,39,57,0.85,69
"Alex Christopoulos",2003-03-26,"RW","Windsor Spitfires",68,37,19,56,0.82,76
"Riley Piercey",2002-03-20,"RW","Flint Firebirds",67,14,42,56,0.84,80
"James Hardie",2002-01-18,"LW","Mississauga Steelheads",66,28,27,55,0.83,67
"Kyle Jackson",2002-10-17,"C","North Bay Battalion",67,22,33,55,0.82,66
"Matthew Poitras",2004-03-10,"C","Guelph Storm",63,14,40,54,0.86,57
"Pavel Mintyukov",2003-11-25,"D","Ottawa 67's",69,15,39,54,0.78,61
"Colby Barlow",2005-02-14,"LW","Owen Sound Attack",59,32,21,53,0.9,67
"Luca Del Bel Belluz",2003-11-10,"C","Sarnia Sting",66,25,27,52,0.79,60
"Oliver Peer",2003-03-09,"RW","Windsor Spitfires",63,14,37,51,0.81,76
"Sahil Panwar",2002-01-26,"C","Hamilton Bulldogs",68,24,27,51,0.75,74
"Cedrick Guindon",2004-04-21,"C","Owen Sound Attack",68,16,33,49,0.72,71
"Connor Lockhart",2003-01-21,"RW","Peterborough Petes",66,23,26,49,0.74,62
"George Diaco",2002-02-14,"LW","London Knights",66,18,31,49,0.74,64
"Nolan Burke",2002-12-09,"C","Sarnia Sting",56,26,22,48,0.86,59
"Cameron Tolnai",2002-02-14,"C","Ottawa 67's",67,16,31,47,0.7,64
"Josh Bloom",2003-06-08,"LW","North Bay Battalion",68,20,27,47,0.69,66
"Landon McCallum",2003-09-05,"RW","Sudbury Wolves",68,12,35,47,0.69,77
"Nick Lardis",2005-07-08,"RW","Hamilton Bulldogs",69,27,20,47,0.68,72
"Owen Beck",2004-02-03,"C","Peterborough Petes",60,18,29,47,0.78,71
"Patrick Thomas",2004-08-21,"C","Hamilton Bulldogs",66,15,32,47,0.71,84
"Bryce McConnell-Barker",2004-06-04,"C","Soo Greyhounds",68,16,30,46,0.68,60
"Luca Pinelli",2005-04-05,"LW","Ottawa 67's",67,19,27,46,0.69,73
"Brenden Sirizzotti",2003-04-14,"RW","Soo Greyhounds",62,17,28,45,0.73,76
"Brett Harrison",2003-06-07,"C","Windsor Spitfires",57,25,20,45,0.79,65
"Coulson Pitre",2004-12-13,"RW","Flint Firebirds",59,20,25,45,0.76,75
"Jacob Frasca",2003-03-19,"C","Barrie Colts",68,18,27,45,0.66,65
"Matthew Sop",2003-02-04,"LW","Kitchener Rangers",67,20,25,45,0.67,80
"Christian Kyrou",2003-09-16,"D","Sarnia Sting",64,14,30,44,0.69,57
"Dmitry Kuzmin",2003-04-23,"D","Flint Firebirds",65,10,34,44,0.68,75
"Ty Nelson",2004-03-30,"D","North Bay Battalion",67,11,33,44,0.66,58
"Brandt Clarke",2003-02-09,"D","Barrie Colts",31,18,25,43,1.39,70
"Brennan Othmann",2003-01-05,"LW","Peterborough Petes",56,22,21,43,0.77,64
"Denver Barkey",2005-04-27,"RW","London Knights",61,15,28,43,0.7,73
"Dylan Roobroeck",2004-07-27,"C","Oshawa Generals",68,13,30,43,0.63,81
"Avery Hayes",2002-10-10,"RW","Peterborough Petes",65,20,22,42,0.65,55
"Beau Jelsma",2004-04-28,"C","Barrie Colts",67,19,23,42,0.63,69
"Colton Smith",2004-02-09,"LW","Windsor Spitfires",62,21,21,42,0.68,89
"Cameron Butler",2002-06-09,"RW","Oshawa Generals",63,20,21,41,0.65,75
"Deni Goure",2003-07-15,"C","Owen Sound Attack",61,19,22,41,0.67,61
"Ethan Miedema",2005-03-22,"LW","Kingston Frontenacs",68,14,27,41,0.6,79
"Hunter Haight",2004-04-04,"C","Saginaw Spirit",62,13,28,41,0.66,68
"J.R. Avon",2003-07-04,"LW","Peterborough Petes",59,17,24,41,0.69,68
"Kocha Delic",2004-03-11,"C","Sudbury Wolves",46,17,24,41,0.89,79
