"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Martin St. Pierre",1983-08-11,"C","Guelph Storm",22,6,13,19,0.86,54
"Brandon Prust",1984-03-16,"LW","London Knights",15,6,12,18,1.2,90
"Matt Ryan",1983-11-12,"C","Guelph Storm",22,7,9,16,0.73,84
"Daniel Paille",1984-04-15,"C","Guelph Storm",22,8,7,15,0.68,83
"Patrick O'Sullivan",1985-02-01,"C","Mississauga IceDogs",24,8,7,15,0.62,65
"Trevor Kell",1986-06-23,"RW","London Knights",15,6,8,14,0.93,93
"Corey Perry",1985-05-16,"RW","London Knights",15,4,9,13,0.87,59
"Jakub Koreis",1984-06-26,"C","Guelph Storm",22,3,8,11,0.5,61
"Ryan Callahan",1985-03-21,"RW","Guelph Storm",22,6,5,11,0.5,52
"B.J. Crombeen",1985-07-10,"RW","Barrie Colts",12,5,5,10,0.83,83
"Brett Trudell",1984-02-15,"RW","Guelph Storm",22,6,4,10,0.45,50
"Cory Stillman",1983-03-02,"C","Barrie Colts",12,5,5,10,0.83,91
"Kevin Klein",1984-12-13,"D","Guelph Storm",22,6,4,10,0.45,48
"Lukas Grauwiler",1984-04-13,"C","Mississauga IceDogs",24,3,7,10,0.42,59
"Tom Zanoski",1984-03-03,"LW","Mississauga IceDogs",23,6,4,10,0.43,77
"Blair Jarrett",1984-10-25,"RW","Mississauga IceDogs",24,2,7,9,0.38,75
"Chris Bain",1984-11-27,"LW","Mississauga IceDogs",24,4,5,9,0.38,82
"Chris Curran",1983-07-24,"LW","Mississauga IceDogs",24,4,5,9,0.38,100
"Rick Steadman",1984-06-09,"LW","London Knights",15,7,2,9,0.6,82
"Bryan Little",1987-11-12,"C","Barrie Colts",12,5,3,8,0.67,80
"Chad Painchaud",1986-05-27,"RW","Mississauga IceDogs",24,2,6,8,0.33,80
"Chad Robinson",1985-01-18,"LW","Barrie Colts",12,4,4,8,0.67,100
"Kyle Quincey",1985-08-12,"D","Mississauga IceDogs",24,2,6,8,0.33,50
"Ryan Stokes",1983-06-23,"D","Mississauga IceDogs",24,2,6,8,0.33,73
"Ryan Wilson",1987-02-03,"D","Toronto St. Michael's Majors",18,2,6,8,0.44,80
"Tim Brent",1984-03-10,"C","Toronto St. Michael's Majors",18,2,6,8,0.44,47
"Cal Clutterbuck",1987-11-18,"RW","Toronto St. Michael's Majors",18,3,4,7,0.39,88
"Dan Rudisuela",1983-01-10,"C","Mississauga IceDogs",24,1,6,7,0.29,78
"Daniel Girardi",1984-04-29,"D","Guelph Storm",22,1,6,7,0.32,37
"Danny Richmond",1984-08-01,"D","London Knights",15,3,4,7,0.47,64
"David Bolland",1986-06-05,"RW","London Knights",15,0,7,7,0.47,54
"Evan Brophey",1986-12-03,"C","Barrie Colts",12,4,3,7,0.58,100
"John Mitchell",1985-01-22,"C","Plymouth Whalers",9,3,4,7,0.78,58
"Cam Janssen",1984-04-15,"RW","Guelph Storm",22,3,3,6,0.27,100
"Danny Bois",1983-06-01,"RW","London Knights",7,2,4,6,0.86,75
"Dennis Wideman",1983-03-20,"D","London Knights",15,3,3,6,0.4,35
"Dylan Hunter",1985-05-21,"LW","London Knights",15,2,4,6,0.4,43
"Geoff Platt",1985-07-10,"C","Erie Otters",9,5,1,6,0.67,60
"Kamil Kreps",1984-11-18,"C","Brampton Battalion",12,3,3,6,0.5,40
"Ryan O'Marra",1987-06-09,"C","Erie Otters",9,4,2,6,0.67,60
"Ryan Oulahen",1985-03-26,"C","Brampton Battalion",12,2,4,6,0.5,60
"Sal Peralta",1983-07-11,"C","Toronto St. Michael's Majors",18,1,5,6,0.33,46
"Cory Vitarelli",1985-06-30,"LW","Toronto St. Michael's Majors",18,2,3,5,0.28,56
"Dan Speer",1984-12-05,"C","Barrie Colts",12,1,4,5,0.42,62
"Derek Merlini",1985-07-06,"D","Erie Otters",9,1,4,5,0.56,71
"James Wisniewski",1984-02-24,"D","Plymouth Whalers",9,0,5,5,0.56,50
"John Vigilante",1985-05-24,"LW","Plymouth Whalers",9,1,4,5,0.56,62
"Jonas Fiedler",1984-05-29,"LW","Plymouth Whalers",9,1,4,5,0.56,71
"Matthew Albiani",1983-02-14,"C","Ottawa 67's",7,1,4,5,0.71,100
"Mike Angelidis",1985-06-27,"LW","Owen Sound Attack",7,4,1,5,0.71,100
"Niko Tuomi",1983-02-10,"D","Guelph Storm",22,0,5,5,0.23,71
"Patrick Jarrett",1984-02-06,"C","Owen Sound Attack",7,5,0,5,0.71,71
"Peter Tsimikalis",1986-01-10,"C","Ottawa 67's",7,1,4,5,0.71,56
"Ryan Card",1984-02-18,"D","Guelph Storm",22,0,5,5,0.23,62
"Scott Sheppard",1983-09-28,"RW","London Knights",14,3,2,5,0.36,50
"Tyler Harrison",1984-12-24,"LW","Brampton Battalion",12,0,5,5,0.42,62
"Wojtek Wolski",1986-02-24,"LW","Brampton Battalion",12,3,2,5,0.42,62
"Adam Abraham",1987-03-27,"D","Mississauga IceDogs",24,2,2,4,0.17,80
"Anthony Stewart",1985-01-05,"RW","Kingston Frontenacs",5,1,3,4,0.8,57
"Ben Eager",1984-01-22,"LW","Oshawa Generals",7,2,2,4,0.57,80
"Brad Efthimiou",1984-10-12,"RW","Mississauga IceDogs",13,1,3,4,0.31,57
"Bryan Rodney",1984-04-22,"D","Kingston Frontenacs",5,1,3,4,0.8,80
"Cody Bass",1987-01-07,"C","Mississauga IceDogs",24,2,2,4,0.17,80
"Colin Power",1984-03-02,"RW","Toronto St. Michael's Majors",17,4,0,4,0.24,100
"Corey Locke",1984-05-08,"C","Ottawa 67's",7,3,1,4,0.57,40
"Danny Fritsche",1985-07-13,"C","Sarnia Sting",5,0,4,4,0.8,67
"Daryl Knowles",1984-02-06,"LW","Mississauga IceDogs",22,1,3,4,0.18,100
"Eric Himelfarb",1983-01-01,"C","Kingston Frontenacs",5,3,1,4,0.8,50
"Howie Martin",1986-11-18,"C","Brampton Battalion",12,2,2,4,0.33,100
"Hunter Tremblay",1986-01-15,"LW","Barrie Colts",11,1,3,4,0.36,100
"Ivan Khomutov",1985-03-11,"C","London Knights",15,3,1,4,0.27,100
"Jamie Fraser",1985-11-17,"C","Brampton Battalion",12,3,1,4,0.33,100
"Jeremy Swanson",1984-06-21,"D","Barrie Colts",12,0,4,4,0.33,80
"Julian Talbot",1985-03-24,"C","Ottawa 67's",7,1,3,4,0.57,80
"Kyle Spurr",1984-08-10,"RW","Guelph Storm",22,2,2,4,0.18,100
"Logan Hunter",1984-08-30,"LW","London Knights",15,1,3,4,0.27,67
"Mark Versteeg-Lytwyn",1986-11-27,"LW","Guelph Storm",17,3,1,4,0.24,100
"Rob Schremp",1986-07-01,"C","London Knights",15,3,1,4,0.27,31
"Rodney Bauman",1983-03-16,"LW","Ottawa 67's",7,2,2,4,0.57,57
"Sean O'Connor",1987-01-31,"RW","Erie Otters",9,1,3,4,0.44,80
"Thomas Waugh",1985-05-31,"LW","Toronto St. Michael's Majors",14,2,2,4,0.29,100
"Travis Fuller",1986-01-25,"LW","Barrie Colts",11,1,3,4,0.36,100
"Tyler Haskins",1986-05-26,"C","Toronto St. Michael's Majors",18,3,1,4,0.22,44
"Will Colbert",1985-02-06,"D","Ottawa 67's",7,0,4,4,0.57,100
"Adam Henrich",1984-01-19,"LW","Brampton Battalion",12,2,1,3,0.25,50
"Bobby Ryan",1987-03-17,"RW","Owen Sound Attack",7,1,2,3,0.43,100
"Brad Horan",1983-05-15,"RW","Kingston Frontenacs",5,1,2,3,0.6,100
"Brent Mahon",1984-04-27,"C","Plymouth Whalers",9,0,3,3,0.33,100
"Bryan Bickell",1986-03-09,"LW","Ottawa 67's",7,3,0,3,0.43,100
"Chad Thompson",1984-06-29,"D","Barrie Colts",11,2,1,3,0.27,100
"Dale Good",1984-01-13,"D","Toronto St. Michael's Majors",15,0,3,3,0.2,100
"Danny Syvret",1985-06-13,"D","London Knights",15,0,3,3,0.2,43
"Drew Kivell",1983-02-04,"D","Kingston Frontenacs",5,0,3,3,0.6,100
"Jamie VanderVeeken",1986-01-20,"LW","Toronto St. Michael's Majors",18,2,1,3,0.17,100
"Jeff MacDermid",1984-03-01,"RW","Owen Sound Attack",7,0,3,3,0.43,100
"John Hecimovic",1984-03-31,"RW","Sarnia Sting",5,2,1,3,0.6,60
"Marc Methot",1985-06-21,"D","London Knights",15,0,3,3,0.2,100
"Mark Langdon",1983-03-12,"C","Barrie Colts",12,0,3,3,0.25,60
"Mark Mancari",1985-07-11,"RW","Ottawa 67's",7,2,1,3,0.43,38
"Mark O'Leary",1985-01-21,"RW","Mississauga IceDogs",19,1,2,3,0.16,100
"Michael Vernace",1986-05-26,"D","Brampton Battalion",11,1,2,3,0.27,60
"Mike Knight",1984-10-07,"D","Plymouth Whalers",9,2,1,3,0.33,75
"Mike Letizia",1985-02-15,"D","Plymouth Whalers",9,3,0,3,0.33,75
"Nathan O'Nabigon",1983-05-09,"LW","Kitchener Rangers",5,0,3,3,0.6,60
"Patrick Sweeney",1986-05-04,"RW","Brampton Battalion",12,3,0,3,0.25,100
"Peter Franchin",1986-05-09,"C","Kitchener Rangers",5,3,0,3,0.6,75
"Rafal Martynowski",1984-08-07,"LW","Sudbury Wolves",7,0,3,3,0.43,50
"Rob Hisey",1984-09-24,"C","Erie Otters",8,2,1,3,0.38,60
"Ryan Kitchen",1985-02-06,"C","Guelph Storm",22,0,3,3,0.14,100
"Ryan Rorabeck",1985-02-27,"C","Toronto St. Michael's Majors",18,1,2,3,0.17,43
"Scott Hotham",1984-07-19,"D","Barrie Colts",12,0,3,3,0.25,60
"Scott Lehman",1986-01-05,"D","Toronto St. Michael's Majors",18,1,2,3,0.17,75
"Tim Sestito",1984-08-28,"LW","Plymouth Whalers",9,3,0,3,0.33,60
"Tobias Whelan",1983-10-28,"C","Oshawa Generals",7,2,1,3,0.43,100
"Adam Keefe",1984-04-26,"RW","Kitchener Rangers",5,0,2,2,0.4,50
"Andre Deveaux",1984-02-23,"RW","Owen Sound Attack",7,1,1,2,0.29,33
"Anthony Butera",1984-09-14,"D","Mississauga IceDogs",21,1,1,2,0.1,29
"Bobby Chaumont",1984-11-21,"RW","Sudbury Wolves",7,2,0,2,0.29,50
"Brandon McBride",1984-02-22,"C","Oshawa Generals",7,1,1,2,0.29,100
"Bret Nasby",1986-03-22,"D","Oshawa Generals",7,0,2,2,0.29,67
"Brody Todd",1984-02-25,"LW","Ottawa 67's",7,0,2,2,0.29,100
"Chris Campoli",1984-07-09,"D","Erie Otters",8,0,2,2,0.25,33
"Chris Clayton",1983-09-28,"RW","Brampton Battalion",12,0,2,2,0.17,67
"Chris Hulit",1985-01-15,"RW","Oshawa Generals",7,1,1,2,0.29,50
"Connor Cameron",1985-05-11,"C","Toronto St. Michael's Majors",18,1,1,2,0.11,29
"David Herring",1984-02-22,"RW","Erie Otters",9,0,2,2,0.22,100
"Dustin VanBallegooie",1983-03-25,"D","Toronto St. Michael's Majors",18,0,2,2,0.11,29
"Eric Larochelle",1984-07-07,"D","Sudbury Wolves",7,0,2,2,0.29,67
"Evan Kotsopoulos",1984-03-24,"LW","Kingston Frontenacs",5,2,0,2,0.4,40
"Georgy Ryazantsev",1986-02-18,"RW","Barrie Colts",7,0,2,2,0.29,100
"Kevin Harvey",1984-09-14,"LW","Owen Sound Attack",7,1,1,2,0.29,100
"Kyle Wharton",1986-03-03,"D","Ottawa 67's",7,1,1,2,0.29,40
"Lukas Bolf",1985-02-20,"D","Barrie Colts",12,0,2,2,0.17,100
"Marc Staal",1987-01-13,"D","Sudbury Wolves",7,0,2,2,0.29,67
"Michael Root",1985-04-13,"D","Barrie Colts",12,1,1,2,0.17,100
"Nick Duff",1985-12-12,"D","Brampton Battalion",12,1,1,2,0.17,100
"Paul Bortignon",1985-05-15,"D","Windsor Spitfires",4,1,1,2,0.5,100
"Petr Kanko",1984-02-07,"RW","Kitchener Rangers",5,2,0,2,0.4,50
"Phil Oreskovic",1987-01-26,"D","Brampton Battalion",12,0,2,2,0.17,100
"Richard Power",1984-01-18,"D","Plymouth Whalers",9,0,2,2,0.22,100
"Rob Smith",1983-03-11,"D","Brampton Battalion",12,1,1,2,0.17,67
"Ryan Ramsay",1983-05-18,"C","Plymouth Whalers",9,1,1,2,0.22,100
"Sean Langdon",1984-04-12,"C","Sudbury Wolves",7,1,1,2,0.29,40
"Stefan Blaho",1985-06-22,"LW","Sudbury Wolves",6,1,1,2,0.33,67
"Stefan Ruzicka",1985-02-17,"RW","Owen Sound Attack",7,0,2,2,0.29,29
"Stuart Simmons",1984-09-26,"D","Brampton Battalion",12,0,2,2,0.17,100
"Ted Perry",1984-02-03,"D","Toronto St. Michael's Majors",18,0,2,2,0.11,100
"Todd Griffith",1985-01-27,"LW","Owen Sound Attack",5,0,2,2,0.4,100
"Tomas Galasek",1985-09-09,"LW","Erie Otters",9,2,0,2,0.22,67
"Zack Stortini",1985-09-11,"RW","Sudbury Wolves",7,1,1,2,0.29,100
"Adam Berti",1986-07-01,"LW","Oshawa Generals",7,0,1,1,0.14,50
"Adam McQuaid",1986-10-12,"D","Sudbury Wolves",7,0,1,1,0.14,100
"Adam Nemeth",1986-02-22,"D","London Knights",15,0,1,1,0.07,100
