"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Justin Brazeau",1998-02-02,"RW","North Bay Battalion",68,47,31,78,1.15,69
"Tye Felhaber",1998-08-05,"RW","Ottawa 67's",68,45,29,74,1.09,68
"Austen Keating",1999-03-07,"LW","Ottawa 67's",68,16,51,67,0.99,75
"Nate Schnarr",1999-02-25,"RW","Guelph Storm",65,22,44,66,1.02,65
"Morgan Frost",1999-05-14,"C","Sault Ste. Marie Greyhounds",58,23,42,65,1.12,60
"Kevin Hancock",1998-03-02,"C","London Knights",70,31,33,64,0.91,60
"Akil Thomas",2000-01-02,"C","Niagara IceDogs",63,25,36,61,0.97,60
"Jason Robertson",1999-07-22,"LW","Niagara IceDogs",62,28,33,61,0.98,52
"Nick Suzuki",1999-08-10,"C","Guelph Storm",59,22,38,60,1.02,64
"Ben Jones",1999-02-26,"C","Niagara IceDogs",68,22,37,59,0.87,58
"Isaac Ratcliffe",1999-02-15,"LW","Guelph Storm",65,35,24,59,0.91,72
"Philip Tomasino",2001-07-28,"RW","Niagara IceDogs",67,30,28,58,0.87,81
"Alan Lyszczarczyk",1998-02-17,"LW","Mississauga Steelheads",64,26,31,57,0.89,70
"Arthur Kaliyev",2001-06-26,"LW","Hamilton Bulldogs",67,30,27,57,0.85,56
"Liam Hawel",1999-04-18,"C","Guelph Storm",66,24,33,57,0.86,73
"Cole Perfetti",2002-01-01,"LW","Saginaw Spirit",63,31,25,56,0.89,76
"Serron Noel",2000-08-08,"RW","Oshawa Generals",68,25,31,56,0.82,69
"Adam Ruzicka",1999-05-11,"C","Sudbury Wolves",65,32,22,54,0.83,69
"Hugo Leufvenius",1999-03-26,"LW","Sarnia Sting",66,27,27,54,0.82,67
"Lucas Chiodo",1998-10-31,"LW","Ottawa 67's",67,25,29,54,0.81,68
"Anthony Salinitri",1998-03-05,"LW","Oshawa Generals",68,31,22,53,0.78,60
"Kyle Maksimovich",1998-03-10,"LW","Ottawa 67's",67,23,30,53,0.79,65
