"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Mikkel Boedker",1989-12-16,"RW","Kitchener Rangers",20,6,15,21,1.05,60
"Justin Azevedo",1988-04-01,"C","Kitchener Rangers",20,6,12,18,0.9,50
"Nazem Kadri",1990-10-06,"C","Kitchener Rangers",20,8,10,18,0.9,69
"Mike Duco",1987-07-08,"LW","Kitchener Rangers",20,11,5,16,0.8,73
"Matt Beleskey",1988-06-07,"LW","Belleville Bulls",21,5,10,15,0.71,45
"Matt Halischuk",1988-06-01,"RW","Kitchener Rangers",20,6,9,15,0.75,47
"Nick Spaling",1988-09-19,"LW","Kitchener Rangers",20,6,9,15,0.75,50
"Brett MacLean",1988-12-24,"LW","Oshawa Generals",15,5,7,12,0.8,75
"Jan Mursak",1988-01-20,"C","Belleville Bulls",21,4,8,12,0.57,50
"Nigel Williams",1988-04-18,"D","Belleville Bulls",21,4,8,12,0.57,67
"Cory Tanaka",1988-05-17,"C","Belleville Bulls",21,7,4,11,0.52,79
"Dale Mitchell",1989-04-09,"RW","Oshawa Generals",15,8,3,11,0.73,69
"Eric Tangradi",1989-02-10,"LW","Belleville Bulls",21,4,7,11,0.52,61
"Keaton Turkiewicz",1988-03-02,"RW","Belleville Bulls",21,5,6,11,0.52,73
"Wayne Simmonds",1988-08-26,"RW","Sault Ste. Marie Greyhounds",14,5,6,11,0.79,79
"Brett Parnham",1989-01-30,"C","Oshawa Generals",15,4,6,10,0.67,77
"John Tavares",1990-09-20,"C","Oshawa Generals",15,3,7,10,0.67,62
"Matt Caria",1988-08-16,"C","Sault Ste. Marie Greyhounds",14,3,7,10,0.71,71
"Andrew Self",1987-01-08,"LW","Belleville Bulls",21,1,7,8,0.38,57
"Brandon MacLean",1987-09-04,"LW","Sault Ste. Marie Greyhounds",14,4,4,8,0.57,89
"Bryan Cameron",1989-02-25,"RW","Belleville Bulls",21,2,6,8,0.38,62
"Kory Nagy",1989-10-12,"LW","Oshawa Generals",15,5,3,8,0.53,89
"P.K. Subban",1989-05-13,"D","Belleville Bulls",21,5,3,8,0.38,35
"Stefan Legein",1988-11-24,"RW","Niagara IceDogs",10,2,6,8,0.8,44
"Adam Perry",1987-01-12,"LW","Belleville Bulls",21,4,3,7,0.33,39
"Dustin Jeffrey",1988-02-27,"C","Sault Ste. Marie Greyhounds",14,3,4,7,0.5,64
"Kevin Baker",1987-03-27,"C","Oshawa Generals",11,4,3,7,0.64,100
"Luca Caputi",1988-10-01,"LW","Niagara IceDogs",10,4,3,7,0.7,41
"Michael Swift",1987-03-26,"C","Niagara IceDogs",10,3,4,7,0.7,39
"Brandon Buck",1988-08-16,"LW","Guelph Storm",10,3,3,6,0.6,75
"Daniel Michalsky",1988-01-13,"LW","Barrie Colts",9,3,3,6,0.67,86
"Patrick Asselin",1987-07-02,"RW","Oshawa Generals",15,2,4,6,0.4,50
"Robert Bortuzzo",1989-03-18,"D","Kitchener Rangers",18,0,6,6,0.33,75
"Ryan McGinnis",1987-03-03,"D","Oshawa Generals",15,0,6,6,0.4,55
"Scott Timmins",1989-09-11,"C","Kitchener Rangers",20,2,4,6,0.3,75
"Scott Tregunna",1987-06-12,"RW","Kitchener Rangers",20,3,3,6,0.3,75
"Shawn Lalonde",1990-03-10,"D","Belleville Bulls",21,2,4,6,0.29,67
"Stephen Johnston",1990-02-24,"C","Belleville Bulls",21,5,1,6,0.29,86
"Andrew Campbell",1988-02-04,"D","Sault Ste. Marie Greyhounds",14,2,3,5,0.36,100
"Derek Brochu",1987-05-06,"RW","Guelph Storm",10,1,4,5,0.5,100
"Drew Doughty",1989-12-08,"D","Guelph Storm",10,2,3,5,0.5,56
"James DeLory",1988-03-03,"D","Oshawa Generals",15,0,5,5,0.33,56
"Jordan Foreman",1987-01-06,"C","Niagara IceDogs",10,2,3,5,0.5,45
"Matt Martin",1989-05-08,"LW","Sarnia Sting",9,2,3,5,0.56,83
"Matt Pepe",1987-02-22,"D","Kitchener Rangers",20,2,3,5,0.25,100
"Michael Caruso",1988-07-05,"D","Guelph Storm",10,2,3,5,0.5,62
"Rafael Rotter",1987-06-14,"C","Guelph Storm",10,1,4,5,0.5,50
"Steven Stamkos",1990-02-07,"C","Sarnia Sting",9,5,0,5,0.56,45
"Tomas Marcinko",1988-04-11,"C","Barrie Colts",9,3,2,5,0.56,71
"Yannick Weber",1988-09-23,"D","Kitchener Rangers",17,1,4,5,0.29,29
"Alex Pietrangelo",1990-01-18,"D","Niagara IceDogs",6,3,1,4,0.67,44
"Ben Shutron",1988-06-14,"D","Kitchener Rangers",20,2,2,4,0.2,57
"Brandon Biggers",1988-08-21,"LW","Sault Ste. Marie Greyhounds",14,2,2,4,0.29,100
"Brandon Mashinter",1988-09-20,"LW","Kitchener Rangers",20,2,2,4,0.2,100
"Eric Regan",1988-05-20,"D","Oshawa Generals",15,0,4,4,0.27,50
"Harrison Reed",1988-01-18,"C","Guelph Storm",10,2,2,4,0.4,80
"Jacob Lalonde",1988-01-08,"LW","Sault Ste. Marie Greyhounds",14,1,3,4,0.29,100
"James Livingston",1990-03-08,"RW","Sault Ste. Marie Greyhounds",14,2,2,4,0.29,80
"Jared Gomes",1988-10-20,"C","Sarnia Sting",9,3,1,4,0.44,100
"Justin DiBenedetto",1988-08-25,"LW","Sarnia Sting",9,1,3,4,0.44,40
"Matt Corrente",1988-03-17,"D","Niagara IceDogs",10,0,4,4,0.4,80
"Matthew Lyall",1988-02-08,"C","Sault Ste. Marie Greyhounds",14,2,2,4,0.29,67
"Michael Quesnele",1989-01-18,"D","Sault Ste. Marie Greyhounds",14,0,4,4,0.29,100
