"Name","BD","Pos","Team","GP","EVG","EVA","EVPTS","EVPTS/G","EVPTS%"
"Dale Mitchell",1989-04-09,"RW","Windsor Spitfires",20,10,12,22,1.1,76
"Taylor Hall",1991-11-14,"LW","Windsor Spitfires",20,10,11,21,1.05,58
"Andrei Loktionov",1990-05-30,"C","Windsor Spitfires",20,9,11,20,1,61
"Cody Hodgson",1990-02-18,"C","Brampton Battalion",21,7,13,20,0.95,65
"Eric Wellwood",1990-03-06,"LW","Windsor Spitfires",20,10,10,20,1,95
"Eric Tangradi",1989-02-10,"LW","Belleville Bulls",16,6,9,15,0.94,71
"Evgeny Grachev",1990-02-21,"LW","Brampton Battalion",19,9,6,15,0.79,60
"Adam Henrique",1990-02-06,"C","Windsor Spitfires",20,6,8,14,0.7,82
"Matt Duchene",1991-01-16,"C","Brampton Battalion",21,8,6,14,0.67,54
"Matt Kang",1988-11-09,"LW","Brampton Battalion",21,7,6,13,0.62,87
"Phil Varone",1990-12-04,"C","London Knights",14,7,6,13,0.93,68
"Luke Pither",1989-04-26,"C","Belleville Bulls",17,4,8,12,0.71,63
"Nazem Kadri",1990-10-06,"C","London Knights",14,4,8,12,0.86,57
"Greg Nemisz",1990-06-05,"RW","Windsor Spitfires",20,4,7,11,0.55,55
"Jason Dale",1988-12-31,"RW","Brampton Battalion",21,4,7,11,0.52,100
"Nick Palmieri",1989-07-12,"RW","Belleville Bulls",17,11,0,11,0.65,65
"Ryan Ellis",1991-01-03,"D","Windsor Spitfires",20,3,8,11,0.55,35
"Cory Tanaka",1988-05-17,"C","Belleville Bulls",17,1,9,10,0.59,100
"Daniel Erlich",1991-03-13,"RW","London Knights",14,1,9,10,0.71,77
"Brandon Mashinter",1988-09-20,"LW","Belleville Bulls",17,7,2,9,0.53,82
"Bryan Cameron",1989-02-25,"RW","Belleville Bulls",17,4,5,9,0.53,64
"Chris Terry",1989-04-07,"C","Plymouth Whalers",11,5,4,9,0.82,56
"Jack Combs",1988-01-26,"C","Saginaw Spirit",8,6,3,9,1.12,69
"John Tavares",1990-09-20,"C","London Knights",14,4,5,9,0.64,43
"Lane MacDermid",1989-08-25,"LW","Windsor Spitfires",20,4,5,9,0.45,100
"Scott Timmins",1989-09-11,"C","Windsor Spitfires",20,2,7,9,0.45,56
"Tyler Seguin",1992-01-31,"C","Plymouth Whalers",11,4,5,9,0.82,56
"Anthony Peluso",1989-04-18,"RW","Brampton Battalion",21,3,5,8,0.38,53
"Chris DeSousa",1990-10-19,"LW","Niagara IceDogs",12,2,6,8,0.67,89
"John Carlson",1990-01-10,"D","London Knights",14,5,3,8,0.57,36
"Mark Cundari",1990-04-23,"D","Windsor Spitfires",20,0,8,8,0.4,89
"Mathew Sisca",1990-10-30,"C","Niagara IceDogs",12,6,2,8,0.67,80
"Matt Caria",1988-08-16,"C","Plymouth Whalers",11,3,5,8,0.73,53
"Justin Shugg",1991-12-24,"RW","Windsor Spitfires",20,3,4,7,0.35,78
"Michael Del Zotto",1990-06-24,"D","London Knights",14,1,6,7,0.5,37
"Michael Pelech",1989-10-06,"C","Mississauga St. Michael's Majors",11,3,4,7,0.64,54
"P.K. Subban",1989-05-13,"D","Belleville Bulls",17,2,5,7,0.41,47
"Phil McRae",1990-03-15,"C","London Knights",14,4,3,7,0.5,70
"Scott Tanski",1990-04-19,"RW","Brampton Battalion",21,3,4,7,0.33,88
"Thomas Stajan",1989-01-07,"C","Brampton Battalion",21,3,4,7,0.33,100
"Tyler Toffoli",1992-04-24,"RW","Ottawa 67's",7,1,6,7,1,88
"Casey Cizikas",1991-02-27,"C","Mississauga St. Michael's Majors",11,4,2,6,0.55,67
"Chris Chappell",1988-03-21,"LW","Saginaw Spirit",8,2,4,6,0.75,75
"Darren Archibald",1990-02-09,"LW","Barrie Colts",5,3,3,6,1.2,86
"Jared Gomes",1988-10-20,"LW","Mississauga St. Michael's Majors",11,2,4,6,0.55,46
"Ken Peroff",1989-09-22,"D","Brampton Battalion",21,2,4,6,0.29,86
"Marco Insam",1989-06-05,"LW","Niagara IceDogs",10,2,4,6,0.6,75
"Ryan Hayes",1989-06-04,"RW","Plymouth Whalers",9,4,2,6,0.67,60
